T1,T2,probMeas0Prep1,probMeas1Prep0,readout_qubit_error,n_qubits,depth,probability,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.25,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.5,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.75,,,,,,
202.05018514680796,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.75,,,,,,


