T1,T2,probMeas0Prep1,probMeas1Prep0,readout_error,divergence
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.007096472900762414
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.009277685901635276
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.03174182144795631
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.04348175171883044
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.04808354990184866
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.04617622330585863
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.07158151420249745
0.8253187732989493,1.0,0.0,8.169815373838712e-06,4.084907686919331e-06,0.041929619207723985
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.045250241386594024
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.07746773534677653
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.03783960462020564
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.073207382597846
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.0675593862859106
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.06358784787104824
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.04572213709783652
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.10260526769666267
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.04547528865284797
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.06324367351927393
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.061370894883857274
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.1401341173369623
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.0888188884938853
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.10128322664228973
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.0650038546420673
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.07170268267726106
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.04158989742259987
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.12111763932259577
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.0849724891016216
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.08087428656011533
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.11116722471094126
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.09004054310285708
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.1410895404720388
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.08160319388926203
0.6324195130912265,1.0,1.0063229879965002e-05,0.0,5.03161493998261e-06,0.06188373052305081
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.02055745776106739
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.10011265281440974
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.029901961688666143
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.07890937388294186
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,-0.010444455499667608
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.042534093375747234
1.0,0.8363109073203622,3.869304880968907e-05,0.0,1.9346524404844487e-05,0.07861218211161757
