T1,T2,probMeas0Prep1,probMeas1Prep0,readout_qubit_error,n_qubits,depth,probability,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error,time
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,5,0.25,3.0,0.0,0.0,8.0,0.01560012794236893,0.006344416239308396,14.581704330444335
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,10,0.25,0.0,1.0,1.0,16.0,0.0307794360309168,0.00750745589078571,14.66063666343689
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,15,0.25,0.0,1.0,2.0,24.0,0.03513891641512088,0.00835870222536611,13.96630916595459
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,5,0.25,0.0,1.0,2.0,16.0,0.0626331167126052,0.0607863857460961,86.47906041145325
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,10,0.25,4.0,5.0,4.0,29.0,0.1205165063007071,0.1024901847153378,114.28956384658814
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,15,0.25,9.0,3.0,6.0,46.0,0.1276031399242262,0.2439234426770629,153.8452479839325
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,5,0.25,3.0,1.0,5.0,18.0,0.1073296675866122,0.2047616096360119,3944.7378819942473
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,10,0.25,4.0,3.0,7.0,45.0,0.0468067367335612,0.4819575129919727,207.5447013854981
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,15,0.25,9.0,8.0,6.0,68.0,0.0172869867130874,0.6287098637737001,2136.6226961135862
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,5,0.5,2.0,0.0,3.0,7.0,0.0100546439485206,0.0046883776821358,130.554465675354
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,10,0.5,2.0,4.0,5.0,13.0,0.0261280342779215,0.0066777760415812,151.1374970436096
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,15,0.5,6.0,5.0,3.0,19.0,0.0339895354860304,0.0081958512844487,172.00532069206238
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,5,0.5,2.0,2.0,8.0,7.0,0.0896931034537223,0.0775103538677356,188.98998727798465
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,10,0.5,7.0,7.0,8.0,25.0,0.128825129181914,0.1496022122512831,190.27318120002747
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,15,0.5,17.0,15.0,15.0,31.0,0.2052456340128069,0.2418087422999256,150.83088293075562
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,5,0.5,6.0,5.0,3.0,21.0,0.1030897377598067,0.1603882268670073,410.1013101100922
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,10,0.5,11.0,12.0,8.0,38.0,0.0812197367951489,0.4344597848164911,342.48560347557066
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,15,0.5,14.0,16.0,15.0,53.0,0.0032460134450661,0.6437448602566598,305.6632737636566
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,5,0.75,4.0,1.0,3.0,4.0,0.0185951932958285,0.0064098779711053,74.58287358283997
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,10,0.75,9.0,8.0,8.0,6.0,0.0280211779350028,0.0068650415545109,47.23614439964295
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,5,15,0.75,11.0,15.0,8.0,11.0,0.0346791736392101,0.0086421546786663,58.75334935188293
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,5,0.75,6.0,7.0,4.0,6.0,0.0419107308426092,0.0418732391409904,53.86615796089173
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,10,0.75,18.0,18.0,21.0,11.0,0.1151401138078573,0.1150882955371804,80.83769750595093
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,10,15,0.75,17.0,37.0,21.0,25.0,0.1552855866055423,0.1969218591940615,89.55651903152466
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,5,0.75,12.0,1.0,7.0,12.0,0.141060627982864,0.2564043260667729,85.64351410865784
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,10,0.75,20.0,23.0,22.0,22.0,0.0033271064666877377,0.6363947899360489,97.38057560920716
178.85642599864715,26.87708277678425,0.05,0.0266666666666666,0.0383333333333333,15,15,0.75,25.0,27.0,40.0,27.0,0.029554528629459544,0.5419774993784928,289.1385437011719

