ds,y,error_2
2024-06-03 11:49:45,0.00020372762810438871,0.008342907764017582
2024-06-03 13:49:45,0.0002039639075519517,0.008341329172253609
2024-06-03 15:49:45,0.00020401579968165606,0.008357591927051544
2024-06-03 17:49:45,0.00020422479428816587,0.008397454395890236
2024-06-03 19:49:45,0.00020446708367671818,0.008409285917878151
2024-06-03 21:49:45,0.00020454090554267168,0.008438254706561565
2024-06-03 23:49:45,0.0002048257738351822,0.008443599566817284
2024-06-04 01:49:45,0.00020503660198301077,0.008464105427265167
2024-06-04 03:49:45,0.00020507154113147408,0.00848022848367691
2024-06-04 05:49:45,0.00020469180890358984,0.008500346913933754
2024-06-04 07:49:45,0.00020471592142712325,0.008491193875670433
2024-06-04 09:49:45,0.0002044461143668741,0.00851798802614212
2024-06-04 11:49:45,0.00020400041830725968,0.008536010980606079
2024-06-04 13:49:45,0.00020367592514958233,0.00852137804031372
2024-06-04 15:49:45,0.00020328196114860475,0.008523961529135704
2024-06-04 17:49:45,0.00020304285862948745,0.008549614809453487
2024-06-04 19:49:45,0.00020285657956264913,0.00854681245982647
2024-06-04 21:49:45,0.0002025282446993515,0.008560623973608017
2024-06-04 23:49:45,0.000202485520276241,0.008550910279154778
2024-06-05 01:49:45,0.00020244429470039904,0.008555019274353981
2024-06-05 03:49:45,0.00020232287351973355,0.00855442974716425
2024-06-05 05:49:45,0.00020188727648928761,0.008558140136301517
2024-06-05 07:49:45,0.00020196812693029642,0.0085308738052845
2024-06-05 09:49:45,0.00020186415349598974,0.008539818227291107
2024-06-05 11:49:45,0.00020168421906419098,0.00853810552507639
2024-06-05 13:49:45,0.00020171569485682994,0.00850437767803669
2024-06-05 15:49:45,0.00020176023826934397,0.00848629791289568
2024-06-05 17:49:45,0.00020201291772536933,0.008491279557347298
2024-06-05 19:49:45,0.0002023632259806618,0.008467914536595345
2024-06-05 21:49:45,0.00020260183373466134,0.008460636250674725
2024-06-05 23:49:45,0.0002031011099461466,0.008430853486061096
2024-06-06 01:49:45,0.0002035796787822619,0.008416018448770046
2024-06-06 03:49:45,0.00020394004241097718,0.008397256024181843
2024-06-06 05:49:45,0.00020390997815411538,0.00838439166545868
2024-06-06 07:49:45,0.00020431261509656906,0.008343863300979137
2024-06-06 09:49:45,0.00020443501125555485,0.008341399021446705
